canonical_tag,synonym_count,synonyms,applied_counts,total_applied,max_applied,creation_dates,earliest_synonym,latest_synonym
sql-execution-plan,5,execution-plan|query-plan|query-execution-plans|explain-plan|query-plans,17|4|29|14|0,64,29,2016-07-05|2016-07-05|2016-07-05|2016-07-05|2016-07-05,2016-07-05,2016-07-05
member,1,members,64,64,64,2018-08-31,2018-08-31,2018-08-31
xdp-bpf,1,xdp-ebpf,64,64,64,2022-09-28,2022-09-28,2022-09-28
x509,1,x.509,63,63,63,2015-02-15,2015-02-15,2015-02-15
keyevent,1,key-events,63,63,63,2017-02-26,2017-02-26,2017-02-26
optional-parameters,1,optional-arguments,63,63,63,2017-12-28,2017-12-28,2017-12-28
sql-server-express,2,sqlexpress|sql-express,11|52,63,52,2016-06-12|2010-07-16,2010-07-16,2016-06-12
shadow,1,shadows,63,63,63,2018-08-31,2018-08-31,2018-08-31
pypdf,1,pypdf2,63,63,63,2022-12-25,2022-12-25,2022-12-25
segment,1,segments,63,63,63,2018-09-19,2018-09-19,2018-09-19
terraform-cdk,1,cdktf,63,63,63,2022-09-12,2022-09-12,2022-09-12
tensorflow2.0,1,tensorflow2.x,63,63,63,2022-09-19,2022-09-19,2022-09-19
kivy-language,1,kv,63,63,63,2019-02-13,2019-02-13,2019-02-13
ssms,4,management-studio-express|management-studio|sql-management-studio|sqlservermanagementstudio,15|20|9|19,63,20,2022-03-17|2010-09-29|2012-04-10|2010-09-29,2010-09-29,2022-03-17
white-framework,1,white,62,62,62,2021-01-11,2021-01-11,2021-01-11
privileges,1,privilege,62,62,62,2018-08-31,2018-08-31,2018-08-31
android-3.0-honeycomb,3,android-3.0|honeycomb|android-honeycomb,0|31|31,62,31,2014-04-05|2013-07-11|2011-05-29,2011-05-29,2014-04-05
executor,1,executors,62,62,62,2018-09-19,2018-09-19,2018-09-19
sql-server-mars,2,ado.net-mars|mars,0|62,62,62,2021-03-29|2021-03-29,2021-03-29,2021-03-29
laravel-routing,1,laravel-route,62,62,62,2020-08-24,2020-08-24,2020-08-24
gdi+,1,gdiplus,62,62,62,2012-02-02,2012-02-02,2012-02-02
vb6-migration,2,vb6-conversion|vb-to-vb.net,22|40,62,40,2010-08-05|2010-08-05,2010-08-05,2010-08-05
tfsbuild,2,team-build|team-foundation-build,41|21,62,41,2014-05-29|2010-07-16,2010-07-16,2014-05-29
javadoc,1,javadocs,62,62,62,2010-08-31,2010-08-31,2010-08-31
bucket,1,buckets,62,62,62,2018-09-20,2018-09-20,2018-09-20
mockups,1,mockup,62,62,62,2010-09-10,2010-09-10,2010-09-10
nancy,1,nancyfx,61,61,61,2014-07-01,2014-07-01,2014-07-01
metadata,1,meta,61,61,61,2025-08-05,2025-08-05,2025-08-05
static-analysis,1,static-code-analysis,61,61,61,2014-01-26,2014-01-26,2014-01-26
matlab-spm,1,spm,60,60,60,2020-11-19,2020-11-19,2020-11-19
business-process-management,2,bpm|bpms,54|6,60,54,2019-07-12|2019-07-12,2019-07-12,2019-07-12
facebook-opengraph,2,open-graph-protocol|opengraph,2|58,60,58,2019-12-11|2013-10-25,2013-10-25,2019-12-11
boolean-logic,1,boolean-algebra,60,60,60,2014-09-19,2014-09-19,2014-09-19
eventtrigger,1,event-triggers,60,60,60,2018-09-13,2018-09-13,2018-09-13
gradient,1,gradients,60,60,60,2019-05-25,2019-05-25,2019-05-25
android-appwidget,1,appwidget,60,60,60,2014-04-27,2014-04-27,2014-04-27
char,1,chars,60,60,60,2018-08-16,2018-08-16,2018-08-16
hedera-hashgraph,1,hedera,60,60,60,2023-04-27,2023-04-27,2023-04-27
prototypejs,1,prototype.js,60,60,60,2010-10-02,2010-10-02,2010-10-02
oracle-sqldeveloper,1,sql-developer,59,59,59,2010-11-14,2010-11-14,2010-11-14
facebook-prophet,1,fbprophet,59,59,59,2021-02-05,2021-02-05,2021-02-05
static-classes,1,static-class,59,59,59,2014-08-14,2014-08-14,2014-08-14
adobe-analytics,2,site-catalyst|omniture,0|59,59,59,2013-09-19|2013-09-19,2013-09-19,2013-09-19
android-2.3-gingerbread,3,android-2.3|android-gingerbread|gingerbread,0|2|57,59,57,2014-04-05|2013-07-11|2013-07-11,2013-07-11,2014-04-05
google-cloud-storage,2,gcs|google-storage,19|39,58,39,2024-02-22|2013-04-12,2013-04-12,2024-02-22
semantic-versioning,1,semver,58,58,58,2015-07-28,2015-07-28,2015-07-28
accessor,1,accessors,58,58,58,2012-03-26,2012-03-26,2012-03-26
bitwise-operators,2,bit-operations|bitwise-operations,3|55,58,55,2012-03-26|2010-08-16,2010-08-16,2012-03-26
android-virtual-device,2,avd|android-avd,53|5,58,53,2023-01-07|2015-11-29,2015-11-29,2023-01-07
jquery-ui-multiselect,1,jquery-multiselect,58,58,58,2018-06-16,2018-06-16,2018-06-16
yield,1,yield-keyword,58,58,58,2015-04-02,2015-04-02,2015-04-02
default,1,defaults,58,58,58,2018-08-18,2018-08-18,2018-08-18
http-status-codes,1,http-status-code,58,58,58,2010-07-24,2010-07-24,2010-07-24
workspace,1,workspaces,57,57,57,2013-01-08,2013-01-08,2013-01-08
java-ee-6,1,jee-6,57,57,57,2010-07-16,2010-07-16,2010-07-16
amazon-ami,1,ami,57,57,57,2019-08-09,2019-08-09,2019-08-09
dynamics-crm-webapi,1,microsoft-dynamics-webapi,57,57,57,2017-12-29,2017-12-29,2017-12-29
workflow-foundation-4,2,wf4.0|wf-4,56|1,57,56,2010-07-25|2010-07-22,2010-07-22,2010-07-25
facebook-java-api,1,facebook-java-sdk,57,57,57,2010-11-19,2010-11-19,2010-11-19
ajaxcontroltoolkit,1,ajaxtoolkit,57,57,57,2013-09-11,2013-09-11,2013-09-11
keyword-argument,1,kwargs,57,57,57,2020-08-13,2020-08-13,2020-08-13
argument-dependent-lookup,1,adl,57,57,57,2010-11-12,2010-11-12,2010-11-12
word-wrap,3,wrapping|textwrapping|linewrap,49|6|2,57,49,2019-05-25|2019-05-25|2019-05-25,2019-05-25,2019-05-25
contains,1,contain,56,56,56,2018-08-27,2018-08-27,2018-08-27
emgucv,1,emgu,56,56,56,2019-02-09,2019-02-09,2019-02-09
grafana-loki,1,loki,56,56,56,2023-08-05,2023-08-05,2023-08-05
jquery-isotope,1,isotope,56,56,56,2019-12-10,2019-12-10,2019-12-10
sap-cloud-sdk,1,s4sdk,55,55,55,2019-07-03,2019-07-03,2019-07-03
microsoft-test-manager,1,mtm,55,55,55,2016-12-29,2016-12-29,2016-12-29
core-graphics,1,quartz-graphics,55,55,55,2011-03-04,2011-03-04,2011-03-04
svm,1,support-vector-machines,55,55,55,2010-07-31,2010-07-31,2010-07-31
require,1,requires,55,55,55,2018-08-27,2018-08-27,2018-08-27
directoryservices,2,system.directoryservices|system-directoryservices,55|0,55,55,2010-10-04|2010-10-04,2010-10-04,2010-10-04
client,1,clients,54,54,54,2018-08-16,2018-08-16,2018-08-16
intel-ipp,1,ipp,54,54,54,2017-03-13,2017-03-13,2017-03-13
freeze,1,hang,54,54,54,2020-08-01,2020-08-01,2020-08-01
apache-cocoon,2,apache-coccoon|cocoon,0|54,54,54,2019-02-11|2015-07-18,2015-07-18,2019-02-11
less,1,lesscss,54,54,54,2012-01-16,2012-01-16,2012-01-16
paradigms,2,programming-paradigms|paradigm,3|51,54,51,2010-10-21|2010-10-21,2010-10-21,2010-10-21
oracle-xe,2,oracle10g-express|oracle-express,41|12,53,41,2010-07-16|2010-07-16,2010-07-16,2010-07-16
monitor,1,monitors,53,53,53,2018-08-27,2018-08-27,2018-08-27
feed,2,news-feed|feeds,1|52,53,52,2019-12-10|2018-08-21,2018-08-21,2019-12-10
active-directory,1,active-directory-group,53,53,53,2011-12-19,2011-12-19,2011-12-19
add-in,1,add-ins,53,53,53,2010-09-10,2010-09-10,2010-09-10
aptana,1,aptana-studio,53,53,53,2010-09-06,2010-09-06,2010-09-06
built-in,2,builtin|builtins,40|13,53,40,2018-04-18|2014-08-27,2014-08-27,2018-04-18
grayscale,1,greyscale,53,53,53,2013-10-02,2013-10-02,2013-10-02
jpa-2.0,1,jpa-2,53,53,53,2010-07-16,2010-07-16,2010-07-16
dictionary-comprehension,1,dict-comprehension,52,52,52,2017-07-27,2017-07-27,2017-07-27
python-2.x,1,python-2,52,52,52,2010-07-22,2010-07-22,2010-07-22
jquery-ui-droppable,1,jquery-droppable,52,52,52,2016-07-02,2016-07-02,2016-07-02
destructor,1,destructors,52,52,52,2010-09-13,2010-09-13,2010-09-13
impersonation,1,impersonate,52,52,52,2013-01-04,2013-01-04,2013-01-04
blob,1,blobs,52,52,52,2018-08-17,2018-08-17,2018-08-17
adsense,1,google-adsense,52,52,52,2010-11-23,2010-11-23,2010-11-23
bitmask,1,bit-masks,52,52,52,2018-09-13,2018-09-13,2018-09-13
jdbc,1,jdbc-driver,52,52,52,2010-08-30,2010-08-30,2010-08-30
android-audiomanager,1,audiomanager,52,52,52,2013-06-11,2013-06-11,2013-06-11
subform,1,subforms,52,52,52,2018-09-20,2018-09-20,2018-09-20
safari,1,safari-bug,52,52,52,2013-09-10,2013-09-10,2013-09-10
game-loop,1,gameloop,52,52,52,2014-06-23,2014-06-23,2014-06-23
particle-swarm,1,pso,51,51,51,2019-04-27,2019-04-27,2019-04-27
learning,1,learn,51,51,51,2010-12-07,2010-12-07,2010-12-07
p5.js,1,p5js,51,51,51,2022-07-10,2022-07-10,2022-07-10
audio-player,2,music-player|audio-playing,21|30,51,30,2019-04-09|2015-02-05,2015-02-05,2019-04-09
material-design,1,material-theme,51,51,51,2015-08-19,2015-08-19,2015-08-19
bean-validation,1,jsr-303,51,51,51,2011-04-21,2011-04-21,2011-04-21
slf4j,2,slf4j-api|sl4j,20|31,51,31,2018-05-03|2012-01-19,2012-01-19,2018-05-03
hierarchy,1,heirarchy,51,51,51,2010-12-22,2010-12-22,2010-12-22
gzip,1,gz,51,51,51,2019-07-17,2019-07-17,2019-07-17
kernel-extension,1,kext,51,51,51,2015-11-15,2015-11-15,2015-11-15
linq,2,linq-query-syntax|language-integrated-query,51|0,51,51,2018-02-26|2016-08-15,2016-08-15,2018-02-26
string-formatting,1,stringformat,51,51,51,2014-11-06,2014-11-06,2014-11-06
network-share,1,network-shares,51,51,51,2018-09-20,2018-09-20,2018-09-20
radix,1,base,51,51,51,2023-02-10,2023-02-10,2023-02-10
vite,1,vitejs,51,51,51,2021-10-13,2021-10-13,2021-10-13
core-location,1,cllocationmanager,50,50,50,2018-09-23,2018-09-23,2018-09-23
msi-patch,1,msp,50,50,50,2014-07-26,2014-07-26,2014-07-26
camelcasing,1,camelcase,50,50,50,2010-10-01,2010-10-01,2010-10-01
microsoft-r,1,revolution-r,50,50,50,2016-09-15,2016-09-15,2016-09-15
floating-action-button,2,android-fab|fab,5|45,50,45,2019-01-11|2015-09-19,2015-09-19,2019-01-11
outofrangeexception,1,indexoutofrangeexception,50,50,50,2022-12-20,2022-12-20,2022-12-20
visual-studio-mac,1,visual-studio-for-mac,50,50,50,2017-11-13,2017-11-13,2017-11-13
decentralized-applications,1,dapp,50,50,50,2022-03-29,2022-03-29,2022-03-29
azure-machine-learning-service,4,azure-machine-learning-studio|azure-machine-learning-workbench|azureml|azure-machine-learning,3|0|35|12,50,35,2021-09-30|2022-12-02|2022-07-01|2020-06-15,2020-06-15,2022-12-02
pkcs#7,1,pkcs7,49,49,49,2015-08-18,2015-08-18,2015-08-18
social-networking,1,social-network,49,49,49,2010-09-08,2010-09-08,2010-09-08
favorites,1,favorite,49,49,49,2018-09-20,2018-09-20,2018-09-20
hotlinking,1,hotlink,49,49,49,2010-10-21,2010-10-21,2010-10-21
iterable-unpacking,1,tuple-unpacking,49,49,49,2013-07-20,2013-07-20,2013-07-20
signature,1,signatures,49,49,49,2018-08-31,2018-08-31,2018-08-31
iostream,1,iostreams,49,49,49,2010-09-30,2010-09-30,2010-09-30
slick.js,3,slick-slider|slick-carousel|slick-js,25|22|2,49,25,2019-07-12|2017-05-25|2017-05-25,2017-05-25,2019-07-12
azure-synapse,5,synapse-spark|azure-sql-data-warehouse|azure-sqldw|azure-sql-pool|azure-synapse-link,0|0|0|0|49,49,49,2023-06-28|2022-12-02|2022-12-02|2022-12-02|2022-07-20,2022-07-20,2023-06-28
playlist,1,playlists,48,48,48,2018-09-04,2018-09-04,2018-09-04
listboxitem,1,listboxitems,48,48,48,2018-08-31,2018-08-31,2018-08-31
emmet,3,emmett|zencoding|zen-coding,2|3|43,48,43,2013-03-04|2013-03-04|2013-03-04,2013-03-04,2013-03-04
usb,1,usbdevice,48,48,48,2013-03-08,2013-03-08,2013-03-08
functor,1,functors,48,48,48,2012-03-25,2012-03-25,2012-03-25
google-play-services,2,google-services-json|google-services,21|27,48,27,2019-03-05|2019-03-04,2019-03-04,2019-03-05
meeting-request,1,meeting,48,48,48,2019-06-08,2019-06-08,2019-06-08
jboss-weld,1,weld,48,48,48,2010-08-19,2010-08-19,2010-08-19
topdown,1,top-down,48,48,48,2018-09-21,2018-09-21,2018-09-21
apache-fop,1,fop,48,48,48,2019-05-01,2019-05-01,2019-05-01
data-distribution-service,1,dds,48,48,48,2013-04-24,2013-04-24,2013-04-24
discussion,4,conversation|conversations|discussions|discuss,33|7|6|2,48,33,2010-07-16|2010-07-16|2010-07-16|2010-07-16,2010-07-16,2010-07-16
android-contacts,1,contactscontract,48,48,48,2017-02-02,2017-02-02,2017-02-02
windows-server-2008,2,server-2008|win2k8,19|29,48,29,2010-07-22|2010-07-16,2010-07-16,2010-07-22
firebase-security,3,firebase-security-rules|firestore-rules|firestore-security-rules,17|12|18,47,18,2018-02-13|2018-07-24|2019-03-09,2018-02-13,2019-03-09
recaptcha,1,google-recaptcha,47,47,47,2015-11-07,2015-11-07,2015-11-07
performancecounter,2,performancecounters|queryperformancecounter,21|26,47,26,2013-01-25|2013-01-25,2013-01-25,2013-01-25
subreport,1,subreports,47,47,47,2018-09-05,2018-09-05,2018-09-05
content-security-policy,1,csp,47,47,47,2024-01-29,2024-01-29,2024-01-29
elasticsearch-painless,1,painless,47,47,47,2017-08-14,2017-08-14,2017-08-14
nullable,1,nullable-types,47,47,47,2010-07-23,2010-07-23,2010-07-23
ant,1,apache-ant,47,47,47,2010-08-05,2010-08-05,2010-08-05
android-gradle-plugin,1,android-gradle,47,47,47,2019-06-19,2019-06-19,2019-06-19
keystroke,1,keystrokes,47,47,47,2018-09-12,2018-09-12,2018-09-12
jquery-ui-slider,1,jquery-slider,47,47,47,2016-07-02,2016-07-02,2016-07-02
roslyn,1,roslyn-ctp,46,46,46,2012-02-17,2012-02-17,2012-02-17
embedded,1,embedded-systems,46,46,46,2012-03-01,2012-03-01,2012-03-01
wake-on-lan,1,wol,46,46,46,2012-05-30,2012-05-30,2012-05-30
apache-tomee,1,tomee,46,46,46,2020-08-08,2020-08-08,2020-08-08
solr,1,apache-solr,46,46,46,2011-07-11,2011-07-11,2011-07-11
sandbox,1,sandboxing,46,46,46,2011-01-05,2011-01-05,2011-01-05
marklogic-corb,1,corb,46,46,46,2019-03-03,2019-03-03,2019-03-03
click,1,clicked,46,46,46,2015-07-07,2015-07-07,2015-07-07
quota,1,quotas,46,46,46,2018-09-20,2018-09-20,2018-09-20
sharding,1,shards,46,46,46,2010-08-09,2010-08-09,2010-08-09
tdd,3,testdrivendesign|test-driven|testdrivendevelopment,10|7|28,45,28,2016-02-04|2010-12-16|2010-07-25,2010-07-25,2016-02-04
air,1,adobe-air,45,45,45,2010-09-03,2010-09-03,2010-09-03
nine-patch,1,9patch,45,45,45,2012-05-11,2012-05-11,2012-05-11
java-wireless-toolkit,1,wtk,45,45,45,2011-12-19,2011-12-19,2011-12-19
svcutil.exe,1,svcutil,45,45,45,2012-07-28,2012-07-28,2012-07-28
ini,1,.ini,45,45,45,2010-08-06,2010-08-06,2010-08-06
datamember,1,data-members,44,44,44,2018-09-20,2018-09-20,2018-09-20
cordova,1,apache-cordova,44,44,44,2017-10-25,2017-10-25,2017-10-25
fluent-interface,1,fluent-api,44,44,44,2012-01-26,2012-01-26,2012-01-26
dotnetopenauth,1,dotnetopenid,44,44,44,2010-08-27,2010-08-27,2010-08-27
badge,1,badges,44,44,44,2010-10-01,2010-10-01,2010-10-01
throttling,1,throttle,44,44,44,2019-03-30,2019-03-30,2019-03-30
connection-string,1,connectionstrings,44,44,44,2010-07-22,2010-07-22,2010-07-22
azure-devops-server,1,tfs,44,44,44,2023-01-11,2023-01-11,2023-01-11
envdte,1,dte,44,44,44,2011-09-27,2011-09-27,2011-09-27
contract,1,contracts,44,44,44,2018-09-19,2018-09-19,2018-09-19
simplexml,2,simplexml-load-string|simplexmlelement,6|38,44,38,2016-03-24|2012-06-28,2012-06-28,2016-03-24
screen,1,screens,43,43,43,2018-08-17,2018-08-17,2018-08-17
rally,2,ca-ac|agile-central,1|42,43,42,2015-10-21|2015-10-21,2015-10-21,2015-10-21
form-submit,1,form-submission,43,43,43,2010-11-29,2010-11-29,2010-11-29
qtstylesheets,5,qt-style-sheets|qt-style-sheet|qss|qstylesheet|qt-stylesheet,0|0|28|15|0,43,28,2019-02-22|2019-02-22|2019-02-22|2016-10-26|2015-02-11,2015-02-11,2019-02-22
windows-server-2008-r2,1,windows-2008-r2,43,43,43,2010-10-11,2010-10-11,2010-10-11
xpath,1,xpath-expression,43,43,43,2010-09-22,2010-09-22,2010-09-22
shared-memory,1,shm,43,43,43,2011-12-06,2011-12-06,2011-12-06
ajax4jsf,1,a4j,43,43,43,2012-01-27,2012-01-27,2012-01-27
x11,3,xwindows|x-window|x-window-system,22|1|20,43,22,2014-07-27|2014-06-12|2010-08-24,2010-08-24,2014-07-27
expo,1,expo-cli,43,43,43,2021-09-20,2021-09-20,2021-09-20
eclipse-wtp,2,eclipse-webtools|wtp,0|42,42,42,2018-07-01|2012-01-26,2012-01-26,2018-07-01
dropshadow,1,drop-shadow,42,42,42,2018-09-19,2018-09-19,2018-09-19
form-fields,1,formfield,42,42,42,2018-09-20,2018-09-20,2018-09-20
endianness,4,endian|little-endian|big-endian|byte-order,9|15|14|4,42,15,2022-01-23|2015-09-26|2015-09-26|2015-09-27,2015-09-26,2022-01-23
web-worker,1,webworkers,42,42,42,2012-03-08,2012-03-08,2012-03-08
struts2,1,struts-2,42,42,42,2010-07-24,2010-07-24,2010-07-24
automated-tests,1,automated-testing,42,42,42,2013-04-23,2013-04-23,2013-04-23
google-contacts-api,1,google-contacts,42,42,42,2019-06-05,2019-06-05,2019-06-05
multitargeting,1,multi-targeting,42,42,42,2018-09-21,2018-09-21,2018-09-21
unmarshalling,1,unmarshall,42,42,42,2012-08-15,2012-08-15,2012-08-15
b-lang,1,b,42,42,42,2022-06-03,2022-06-03,2022-06-03
shared-objects,1,sharedobject,41,41,41,2012-05-04,2012-05-04,2012-05-04
html-meta,2,meta-tags|metatag,0|41,41,41,2025-07-11|2018-08-27,2018-08-27,2025-07-11
alarm,1,alarms,41,41,41,2018-08-31,2018-08-31,2018-08-31
app-store-connect,3,itunes-connect|itunesconnect|appstoreconnect,1|6|34,41,34,2019-12-10|2019-12-10|2019-12-10,2019-12-10,2019-12-10
callouts,1,callout,41,41,41,2018-09-20,2018-09-20,2018-09-20
google-api,1,google-apis,41,41,41,2011-10-10,2011-10-10,2011-10-10
channel,1,channels,41,41,41,2023-08-08,2023-08-08,2023-08-08
android-mediacodec,1,mediacodec,41,41,41,2020-07-23,2020-07-23,2020-07-23
swift-playground,1,xcode-playground,41,41,41,2014-06-10,2014-06-10,2014-06-10
xdp-pdf,1,xdp,40,40,40,2021-04-13,2021-04-13,2021-04-13
webclient,2,webclient-download|web-client,0|40,40,40,2022-02-15|2018-09-21,2018-09-21,2022-02-15
python-module,1,python-modules,40,40,40,2010-08-24,2010-08-24,2010-08-24
drive,1,drives,40,40,40,2018-09-12,2018-09-12,2018-09-12
android-studio,1,androidstudio-settings,40,40,40,2017-09-29,2017-09-29,2017-09-29
deadlines,1,deadline,40,40,40,2010-08-07,2010-08-07,2010-08-07
apache-phoenix,1,phoenix,40,40,40,2022-11-23,2022-11-23,2022-11-23
charles-proxy,1,charles,40,40,40,2019-03-10,2019-03-10,2019-03-10
ipad,3,ipad-splitview|ipad-ui|ipad-sdk,1|1|38,40,38,2014-06-07|2014-06-07|2010-10-30,2010-10-30,2014-06-07
insert,1,inserts,40,40,40,2010-10-23,2010-10-23,2010-10-23
ibm-cloud-infrastructure,1,softlayer,40,40,40,2018-03-27,2018-03-27,2018-03-27
python-itertools,1,itertools,39,39,39,2022-11-20,2022-11-20,2022-11-20
weblogic-10.x,2,weblogic-10|weblogic10.x,0|39,39,39,2010-07-16|2010-07-16,2010-07-16,2010-07-16
postscript,1,ps,39,39,39,2010-12-30,2010-12-30,2010-12-30
cloud-foundry,2,pivotal-cloud-foundry|cloudfoundry,29|10,39,29,2020-12-16|2020-12-16,2020-12-16,2020-12-16
conditional-compilation,1,ifdef,39,39,39,2013-07-18,2013-07-18,2013-07-18
fragment-shader,1,pixel-shader,39,39,39,2015-03-14,2015-03-14,2015-03-14
wso2-api-manager,3,api-manager|wso2-apim|wso2-am,34|1|4,39,34,2022-09-18|2022-06-13|2022-06-13,2022-06-13,2022-09-18
intel-fpga,1,altera,39,39,39,2019-04-18,2019-04-18,2019-04-18
go-gin,3,gin|gin-framework|gin-gonic,25|1|13,39,25,2023-05-29|2023-04-19|2020-08-14,2020-08-14,2023-05-29
slug,1,slugs,39,39,39,2010-09-15,2010-09-15,2010-09-15
continuations,1,continuation,39,39,39,2018-09-04,2018-09-04,2018-09-04
code-generation,2,codegen|code-generator,8|31,39,31,2024-06-08|2010-09-10,2010-09-10,2024-06-08
perl,1,perl5,39,39,39,2019-09-04,2019-09-04,2019-09-04
returning,1,returns,39,39,39,2012-02-22,2012-02-22,2012-02-22
file-move,1,file-moving,39,39,39,2018-08-06,2018-08-06,2018-08-06
restart,1,restarting,39,39,39,2013-01-25,2013-01-25,2013-01-25
python-assignment-expression,1,walrus-operator,38,38,38,2020-07-20,2020-07-20,2020-07-20
disk,1,disks,38,38,38,2010-07-23,2010-07-23,2010-07-23
raku,1,perl6,38,38,38,2019-12-13,2019-12-13,2019-12-13
wrapper,1,wrappers,38,38,38,2011-06-22,2011-06-22,2011-06-22
eclipse-jdt,1,jdt,38,38,38,2016-07-23,2016-07-23,2016-07-23
turing-machines,1,turing,38,38,38,2019-06-08,2019-06-08,2019-06-08
object-files,1,object-file,38,38,38,2011-01-09,2011-01-09,2011-01-09
idioms,2,idiomatic|idiom,10|28,38,28,2018-05-09|2012-01-05,2012-01-05,2018-05-09
optaplanner,1,drools-planner,37,37,37,2013-03-25,2013-03-25,2013-03-25
multi-select,1,multiselectlist,37,37,37,2013-06-25,2013-06-25,2013-06-25
rational-number,1,rational-numbers,37,37,37,2018-07-10,2018-07-10,2018-07-10
one-definition-rule,2,odr|onedefinitionrule,37|0,37,37,2016-04-19|2016-04-19,2016-04-19,2016-04-19
drag,1,dragging,36,36,36,2019-03-29,2019-03-29,2019-03-29
data.table,1,rbindlist,36,36,36,2018-05-16,2018-05-16,2018-05-16
unique,1,uniqueness,36,36,36,2012-06-21,2012-06-21,2012-06-21
format,1,formats,36,36,36,2018-08-16,2018-08-16,2018-08-16
getjson,1,.getjson,36,36,36,2012-04-10,2012-04-10,2012-04-10
definition,1,definitions,36,36,36,2018-08-27,2018-08-27,2018-08-27
dask-distributed,1,dask.distributed,36,36,36,2018-06-30,2018-06-30,2018-06-30
mustache,1,mustache.js,36,36,36,2014-01-09,2014-01-09,2014-01-09
powerpc,1,ppc,36,36,36,2018-05-25,2018-05-25,2018-05-25
go-modules,1,go-packages,36,36,36,2022-06-21,2022-06-21,2022-06-21
android-uiautomator,1,uiautomator,35,35,35,2019-07-13,2019-07-13,2019-07-13
jsp-fragments,3,jsp-fragment|jsp-f|jspf,0|0|35,35,35,2010-07-16|2010-07-16|2010-07-16,2010-07-16,2010-07-16
scylla,1,scylladb,35,35,35,2017-11-01,2017-11-01,2017-11-01
weak-references,1,weakreference,35,35,35,2010-12-17,2010-12-17,2010-12-17
staticresource,1,static-resource,35,35,35,2018-09-21,2018-09-21,2018-09-21
nuxt3.js,2,nuxtjs3|nuxt3,1|34,35,34,2024-06-29|2024-06-29,2024-06-29,2024-06-29
berkeley-db,1,bdb,35,35,35,2010-07-16,2010-07-16,2010-07-16
last.fm,1,lastfm,35,35,35,2012-04-30,2012-04-30,2012-04-30
teechart,1,tchart,35,35,35,2013-06-11,2013-06-11,2013-06-11
cesiumjs,1,cesium,35,35,35,2022-09-13,2022-09-13,2022-09-13
fastcgi,1,fcgi,34,34,34,2015-08-24,2015-08-24,2015-08-24
google-nativeclient,3,pnacl|google-nacl|nativeclient,17|9|8,34,17,2013-10-15|2010-08-07|2010-08-07,2010-08-07,2013-10-15
nsnotifications,1,nsnotification,34,34,34,2010-11-23,2010-11-23,2010-11-23
java-9,1,jdk9,34,34,34,2015-12-15,2015-12-15,2015-12-15
quill,1,quilljs,34,34,34,2019-05-23,2019-05-23,2019-05-23
wcf-rest,1,restful-wcf,34,34,34,2010-10-01,2010-10-01,2010-10-01
complex-event-processing,1,cep,34,34,34,2019-05-25,2019-05-25,2019-05-25
area,1,areas,34,34,34,2018-08-31,2018-08-31,2018-08-31
airbnb-js-styleguide,1,airbnb,34,34,34,2021-10-15,2021-10-15,2021-10-15
alias,1,aliases,34,34,34,2022-03-04,2022-03-04,2022-03-04
opcode,1,opcodes,34,34,34,2018-09-17,2018-09-17,2018-09-17
vendor,1,vendors,34,34,34,2018-09-20,2018-09-20,2018-09-20
ejb-2.x,1,ejb2,34,34,34,2010-09-02,2010-09-02,2010-09-02
java-platform-module-system,2,jpms|jigsaw,22|12,34,22,2020-07-22|2020-07-22,2020-07-22,2020-07-22
core-data,2,nsmanagedobject|nsmanagedobjectcontext,19|15,34,19,2014-04-12|2014-04-11,2014-04-11,2014-04-12
case-sensitive,1,case-sensitivity,33,33,33,2010-09-11,2010-09-11,2010-09-11
osx-yosemite,2,yosemite|osx-yosemite10.10,2|31,33,31,2019-05-25|2014-12-30,2014-12-30,2019-05-25
phrase,1,phrases,33,33,33,2018-09-20,2018-09-20,2018-09-20
binary-tree,1,binary-trees,33,33,33,2010-08-28,2010-08-28,2010-08-28
mapping,2,maping|mappings,3|30,33,30,2021-11-23|2018-08-16,2018-08-16,2021-11-23
manpage,1,man,33,33,33,2019-07-22,2019-07-22,2019-07-22
multipartform-data,1,multipart-form,33,33,33,2015-09-27,2015-09-27,2015-09-27
address-sanitizer,1,asan,33,33,33,2019-03-24,2019-03-24,2019-03-24
primes,1,prime-number,33,33,33,2011-01-14,2011-01-14,2011-01-14
android-glide,2,glide|glide-image-library,33|0,33,33,2023-01-05|2019-03-12,2019-03-12,2023-01-05
reportviewer,1,report-viewer,33,33,33,2010-10-23,2010-10-23,2010-10-23
handle,1,handles,32,32,32,2018-08-28,2018-08-28,2018-08-28
normalization,1,normalisation,32,32,32,2017-07-19,2017-07-19,2017-07-19
radius,1,radius-protocol,32,32,32,2018-03-03,2018-03-03,2018-03-03
mhtml,1,mht,32,32,32,2014-06-09,2014-06-09,2014-06-09
lift,1,liftweb,32,32,32,2012-04-21,2012-04-21,2012-04-21
terminology,3,wording|nomenclature|programming-terms,0|32|0,32,32,2022-03-22|2019-01-17|2010-12-30,2010-12-30,2022-03-22
c++-chrono,1,chrono,32,32,32,2022-12-11,2022-12-11,2022-12-11
django-urls,1,urls.py,32,32,32,2013-08-22,2013-08-22,2013-08-22
image-resizing,1,image-resize,32,32,32,2011-01-20,2011-01-20,2011-01-20
bridging-header,1,objc-bridging-header,32,32,32,2017-08-17,2017-08-17,2017-08-17
jaws-screen-reader,1,jaws,32,32,32,2019-02-13,2019-02-13,2019-02-13
